goos: linux
goarch: amd64
pkg: lc23bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkFlattenSort/k=10/n=100-24         	   21267	     49505 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       6	 169818595 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 362433556 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 357641817 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 357411812 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 357543951 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 361463660 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 358555466 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 357771025 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 357607623 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 359899539 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=200-24        	       3	 358062011 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 550467690 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 554108134 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 552553922 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 552558056 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 556236988 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 553438702 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 553661697 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 559047129 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 616926279 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=300-24        	       2	 551668909 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 727521964 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 741909166 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 728672540 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 736084930 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 767938176 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 734721502 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 732197323 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 733920754 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 755745742 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=400-24        	       2	 737432641 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1368559466 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1369303385 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1404457843 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1384329556 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1441340686 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1378699508 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1354659977 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1371196179 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1375651753 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=500-24        	       1	1350127278 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   85699	     12715 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   85140	     12848 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   94842	     13085 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   87344	     12746 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   95667	     12557 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   94740	     12689 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   93916	     12780 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   94404	     12582 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   79468	     12885 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=100-24         	   94561	     12592 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   47824	     25042 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   47689	     25157 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   47731	     25010 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   45993	     25390 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   47050	     25164 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   46905	     25012 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   46620	     25839 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   47784	     25008 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   47960	     24998 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=200-24         	   47786	     24931 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   32268	     37325 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   31975	     37451 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   32203	     37259 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   32104	     37342 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   31946	     37529 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   32232	     37159 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   31636	     37437 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   32138	     37315 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   32230	     37238 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=300-24         	   32210	     37243 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   24129	     49736 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   24043	     49927 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   24145	     49733 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   24098	     49671 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   24064	     49844 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   23977	     49954 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   24034	     49915 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   24034	     49884 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   24141	     49776 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=400-24         	   23548	     50360 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   18982	     63153 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   19100	     62837 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   19011	     62956 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   18840	     63794 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   19000	     63100 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   19074	     62908 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   18799	     63381 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   18813	     63770 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   19058	     62978 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=10/n=500-24         	   18927	     63357 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5790	    207213 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5776	    208236 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5569	    207413 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5400	    206852 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5750	    208484 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5611	    207007 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5768	    207217 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5826	    206163 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5464	    207365 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=100-24        	    5778	    207353 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2907	    408378 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2937	    408835 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2935	    409476 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2908	    408221 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2935	    408128 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2942	    406771 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2872	    407210 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2602	    415540 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2804	    422267 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=200-24        	    2446	    410043 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1915	    630734 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1908	    615234 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1933	    619781 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1946	    616466 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1944	    620330 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1947	    612722 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1797	    618240 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1891	    618584 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1938	    613876 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=300-24        	    1934	    615375 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1430	    811700 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1464	    817513 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1420	    816790 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1477	    818605 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1333	    817635 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1472	    813125 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1432	    813484 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1462	    820704 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1477	    810958 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=400-24        	    1466	    819342 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1098	   1081428 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1089	   1096501 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1100	   1087385 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1098	   1093806 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1100	   1087983 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1093	   1088576 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1094	   1081355 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1099	   1085185 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1094	   1084799 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=100/n=500-24        	    1108	   1083860 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     367	   3266812 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     364	   3373839 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     366	   3283387 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     364	   3262545 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     364	   3276828 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     326	   3610111 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     362	   3294030 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     351	   3327026 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     360	   3276111 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=100-24       	     364	   3256591 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     180	   6703771 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     174	   6751212 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     172	   6776458 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     177	   6682053 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     177	   6689650 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     180	   6655423 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     177	   6693280 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     175	   6804340 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     176	   6682318 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=200-24       	     180	   6635649 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     100	  10087985 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     100	  10241074 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     100	  10040335 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     100	  10038147 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     100	  10105657 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     117	  10107228 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     100	  10247680 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     117	  10094541 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     109	  10766615 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=300-24       	     117	  10102631 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      78	  14540148 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      84	  13878208 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      75	  13374490 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      87	  13474864 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      88	  13401449 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      87	  13516581 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      90	  13267000 ns/op	    8193 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      84	  13793607 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      88	  13382013 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=400-24       	      87	  14024556 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      57	  20325483 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      52	  20114706 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      56	  20442136 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      51	  19974982 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      57	  20364030 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      57	  20336134 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      58	  20077680 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      55	  21058923 ns/op	    8194 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      57	  20479910 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCIterative/k=1000/n=500-24       	      57	  20384421 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   94981	     12524 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   94238	     12588 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   80440	     12941 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   95220	     12551 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   94933	     12776 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   89044	     13200 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   95274	     12818 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   94938	     12862 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   95683	     12579 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=100-24         	   95040	     12604 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   46940	     25242 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   47701	     25188 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   48010	     24936 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   48142	     25100 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   47823	     25817 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   46406	     25723 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   47370	     25144 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   47290	     25158 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   47797	     25020 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=200-24         	   47692	     25034 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   32137	     37339 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   32002	     37681 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   31131	     38726 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   31956	     37470 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   30681	     37982 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   31780	     37980 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   32182	     37381 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   32077	     37403 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   31935	     37560 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=300-24         	   32030	     37461 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   23959	     50004 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   24013	     49962 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   24090	     49741 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   23941	     50010 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   23943	     50103 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   23928	     49882 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   23623	     50190 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   24129	     49704 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   24001	     49832 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=400-24         	   21955	     52081 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   19023	     63043 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   19012	     63154 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   18940	     63408 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   18920	     65178 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   18799	     63705 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   19072	     62989 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   18960	     63275 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   19002	     62949 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   18979	     63183 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=10/n=500-24         	   19064	     62970 ns/op	      80 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5686	    209808 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5545	    210794 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5727	    213217 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5582	    210298 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5718	    209676 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5449	    209756 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5440	    210414 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5628	    210027 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    5740	    209531 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=100-24        	    4838	    211887 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2845	    416688 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2481	    419612 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2893	    417059 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2834	    416959 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2844	    415734 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2864	    417981 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2883	    430428 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2883	    416857 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2863	    420487 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=200-24        	    2659	    440886 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=300-24        	    1890	    628598 ns/op	     896 B/op	       1 allocs/op
BenchmarkDCRecursive/k=100/n=300-24        	    1911	    648868 ns/op	     896 B/op	       1 allocs/op
